YY,MM,DD,hh,mm,WVHT
2011,1,13,11,50,2.95
2011,1,13,12,50,2.87
2011,1,13,13,50,2.56
2011,1,13,14,50,2.85
2011,1,13,15,50,2.89
2011,1,13,16,50,2.73
2011,1,13,17,50,2.88
2011,1,13,18,50,2.92
2011,1,13,19,50,2.64
2011,1,13,20,50,2.68
2011,1,13,21,50,2.49
2011,1,13,22,50,2.63
2011,1,13,23,50,2.66
2011,1,14,0,50,2.78
2011,1,14,1,50,2.65
2011,1,14,2,50,2.9
2011,1,14,3,50,2.88
2011,1,14,4,50,2.95
2011,1,14,5,50,2.81
2011,1,14,6,50,2.67
2011,1,14,7,50,2.69
2011,1,14,8,50,2.87
2011,1,14,9,50,3.05
2011,1,14,10,50,2.84
2011,1,14,11,50,2.86
2011,1,14,12,50,2.72
2011,1,14,13,50,2.59
2011,1,14,14,50,2.74
2011,1,14,15,50,2.79
2011,1,14,16,50,2.44
2011,1,14,17,50,2.46
2011,1,14,18,50,2.42
2011,1,14,19,50,2.52
2011,1,14,20,50,2.41
2011,1,14,21,50,2.48
2011,1,14,22,50,2.3
2011,1,14,23,50,2.53
2011,1,15,0,50,2.56
2011,1,15,1,50,2.5
2011,1,15,2,50,2.34
2011,1,15,3,50,2.27
2011,1,15,4,50,2.25
2011,1,15,5,50,2.36
2011,1,15,6,50,2.38
2011,1,15,7,50,2.23
2011,1,15,8,50,2.13
2011,1,15,9,50,2.28
2011,1,15,10,50,2.17
2011,1,15,11,50,2.16
2011,1,15,12,50,2.2
2011,1,15,13,50,2.24
2011,1,15,14,50,2.08
2011,1,15,15,50,2.09
2011,1,15,16,50,2.11
2011,1,15,17,50,2.2
2011,1,15,18,50,2.23
2011,1,15,19,50,1.96
2011,1,15,20,50,2.02
2011,1,15,21,50,1.94
2011,1,15,22,50,2.11
2011,1,15,23,50,2.21
2011,1,16,0,50,2.03
2011,1,16,1,50,2.09
2011,1,16,2,50,2.12
2011,1,16,3,50,2.19
2011,1,16,4,50,2.46
2011,1,16,5,50,2.38
2011,1,16,6,50,2.37
2011,1,16,7,50,2.26
2011,1,16,8,50,2.42
2011,1,16,9,50,2.87
2011,1,16,10,50,2.85
2011,1,16,11,50,3
2011,1,16,12,50,3.23
2011,1,16,13,50,3.57
2011,1,16,14,50,4.64
2011,1,16,15,50,4.54
2011,1,16,16,50,4.95
2011,1,16,17,50,4.63
2011,1,16,18,50,4.53
2011,1,16,19,50,4.28
2011,1,16,20,50,4.93
2011,1,16,21,50,4.95
2011,1,16,22,50,4.72
2011,1,16,23,50,4.79
2011,1,17,0,50,4.31
2011,1,17,1,50,3.9
2011,1,17,2,50,4.47
2011,1,17,3,50,4.11
2011,1,17,4,50,4.29
2011,1,17,5,50,4.05
2011,1,17,6,50,4.17
2011,1,17,7,50,4.01
2011,1,17,8,50,4.2
2011,1,17,9,50,4.24
2011,1,17,10,50,3.89
2011,1,17,11,50,4.21
2011,1,17,12,50,3.47
2011,1,17,13,50,3.64
2011,1,17,14,50,3.41
2011,1,17,15,50,3.71
2011,1,17,16,50,3.63
2011,1,17,17,50,3.94
2011,1,17,18,50,3.57
2011,1,17,19,50,3.26
2011,1,17,20,50,3.39
2011,1,17,21,50,3.81
2011,1,17,22,50,3.65
2011,1,17,23,50,3.47
2011,1,18,0,50,3.42
2011,1,18,1,50,3.15
2011,1,18,2,50,3.42
2011,1,18,3,50,3.67
2011,1,18,4,50,3.47
2011,1,18,5,50,3.49
2011,1,18,6,50,3.63
2011,1,18,7,50,3.35
2011,1,18,8,50,3.12
2011,1,18,9,50,3.42
2011,1,18,10,50,3.47
2011,1,18,11,50,3.19
2011,1,18,12,50,3.43
2011,1,18,13,50,3.27
2011,1,18,14,50,3.12
2011,1,18,15,50,3.05
2011,1,18,16,50,2.98
2011,1,18,17,50,3.67
2011,1,18,18,50,3.33
2011,1,18,19,50,3.23
2011,1,18,20,50,3.14
2011,1,18,21,50,2.82
2011,1,18,22,50,3.17
2011,1,18,23,50,3.13
2011,1,19,0,50,2.83
2011,1,19,1,50,3.04
2011,1,19,2,50,3.12
2011,1,19,3,50,3.1
2011,1,19,4,50,3.07
2011,1,19,5,50,2.97
2011,1,19,6,50,3.07
2011,1,19,7,50,3.16
2011,1,19,8,50,3.05
2011,1,19,9,50,3.05
2011,1,19,10,50,3.08
2011,1,19,11,50,2.88
2011,1,19,12,50,2.76
2011,1,19,13,50,2.73
2011,1,19,14,50,2.7
2011,1,19,15,50,2.46
2011,1,19,16,50,2.37
2011,1,19,17,50,2.2
2011,1,19,18,50,2.25
2011,1,19,19,50,2.1
2011,1,19,20,50,2.12
2011,1,19,21,50,2.16
2011,1,19,22,50,2.18
2011,1,19,23,50,2.28
2011,1,20,0,50,2.33
2011,1,20,1,50,2.355
2011,1,20,2,50,2.38
2011,1,20,3,50,2.45
2011,1,20,4,50,2.52
2011,1,20,5,50,2.69
2011,1,20,6,50,2.775
2011,1,20,7,50,2.86
2011,1,20,8,50,3
2011,1,20,9,50,2.98
2011,1,20,10,50,3.03
2011,1,20,11,50,2.94
2011,1,20,12,50,3.56
2011,1,20,13,50,3.49
2011,1,20,14,50,4.02
2011,1,20,15,50,3.61
2011,1,20,16,50,4.24
2011,1,20,17,50,4.45
2011,1,20,18,50,4.31
2011,1,20,19,50,5.09
2011,1,20,20,50,4.76
2011,1,20,21,50,4.88
2011,1,20,22,50,4.66
2011,1,20,23,50,4.55
2011,1,21,0,50,4.64
2011,1,21,1,50,4.8
2011,1,21,2,50,5.01
2011,1,21,3,50,4.61
2011,1,21,4,50,4.82
2011,1,21,5,50,4.22
2011,1,21,6,50,4.4
2011,1,21,7,50,4.41
2011,1,21,8,50,3.79
2011,1,21,9,50,4.22
2011,1,21,10,50,4
2011,1,21,11,50,4.14
2011,1,21,12,50,4.09
2011,1,21,13,50,3.68
2011,1,21,14,50,3.76
2011,1,21,15,50,3.95
2011,1,21,16,50,3.61
2011,1,21,17,50,4.54
2011,1,21,18,50,3.44
2011,1,21,19,50,3.64
2011,1,21,20,50,3.71
2011,1,21,21,50,3.64
2011,1,21,22,50,3.37
2011,1,21,23,50,3.52
2011,1,22,0,50,3.72
2011,1,22,1,50,3.79
2011,1,22,2,50,3.52
2011,1,22,3,50,3.54
2011,1,22,4,50,3.8
2011,1,22,5,50,3.41
2011,1,22,6,50,3.52
2011,1,22,7,50,3.45
2011,1,22,8,50,3.55
2011,1,22,9,50,3.54
2011,1,22,10,50,4.03
2011,1,22,11,50,3.57
2011,1,22,12,50,3.59
2011,1,22,13,50,3.43
2011,1,22,14,50,3.4
2011,1,22,15,50,3.55
2011,1,22,16,50,3.24
2011,1,22,17,50,3.07
2011,1,22,18,50,2.83
2011,1,22,19,50,3.32
2011,1,22,20,50,2.86
2011,1,22,21,50,2.92
2011,1,22,22,50,2.92
2011,1,22,23,50,2.95
2011,1,23,0,50,2.73
2011,1,23,1,50,2.72
2011,1,23,2,50,3.13
2011,1,23,3,50,3.21
2011,1,23,4,50,2.955
2011,1,23,5,50,2.7
2011,1,23,6,50,2.87
2011,1,23,7,50,3.04
2011,1,23,8,50,2.95
2011,1,23,9,50,2.8
2011,1,23,10,50,2.69
2011,1,23,11,50,2.58
2011,1,23,12,50,2.82
2011,1,23,13,50,2.93
9999,9999,9999,14,9999,2.685
2011,1,23,15,50,2.5625
2011,1,23,16,50,2.50125
2011,1,23,17,50,2.44
2011,1,23,18,50,2.35
2011,1,23,19,50,2.55
2011,1,23,20,50,2.445
2011,1,23,21,50,2.34
2011,1,23,22,50,2.34
2011,1,23,23,50,2.24
2011,1,24,0,50,2.31
2011,1,24,1,50,2.23
2011,1,24,2,50,2.52
2011,1,24,3,50,2.24
2011,1,24,4,50,2.87
2011,1,24,5,50,2.27
2011,1,24,6,50,2.36
2011,1,24,7,50,2.24
2011,1,24,8,50,2.31
2011,1,24,9,50,2.42
2011,1,24,10,50,2.51
2011,1,24,11,50,2.52
2011,1,24,12,50,2.3
2011,1,24,13,50,2.29
2011,1,24,14,50,2.27
2011,1,24,15,50,2.26
2011,1,24,16,50,2.22
2011,1,24,17,50,2.11
2011,1,24,18,50,2.22
2011,1,24,19,50,2.37
2011,1,24,20,50,2.3
2011,1,24,21,50,2.43
2011,1,24,22,50,2.56
2011,1,24,23,50,2.3
2011,1,25,0,50,2.48
2011,1,25,1,50,2.5
2011,1,25,2,50,2.51
2011,1,25,3,50,2.52
2011,1,25,4,50,2.56
2011,1,25,5,50,2.65
2011,1,25,6,50,2.74
2011,1,25,7,50,2.89
2011,1,25,8,50,2.7
2011,1,25,9,50,2.74
2011,1,25,10,50,2.52
2011,1,25,11,50,2.97
2011,1,25,12,50,2.68
2011,1,25,13,50,2.75
2011,1,25,14,50,2.49
2011,1,25,15,50,2.85
2011,1,25,16,50,2.52
2011,1,25,17,50,2.18
2011,1,25,18,50,2.7
2011,1,25,19,50,2.78
2011,1,25,20,50,2.49
2011,1,25,21,50,2.6
2011,1,25,22,50,2.43
2011,1,25,23,50,2.25
2011,1,26,0,50,2.46
2011,1,26,1,50,2.46
2011,1,26,2,50,2.44
2011,1,26,3,50,2.57
2011,1,26,4,50,2.4
2011,1,26,5,50,2.72
2011,1,26,6,50,2.73
2011,1,26,7,50,2.6
2011,1,26,8,50,3.01
2011,1,26,9,50,2.72
2011,1,26,10,50,2.63
2011,1,26,11,50,2.72
2011,1,26,12,50,2.66
2011,1,26,13,50,2.34
2011,1,26,14,50,2.41
2011,1,26,15,50,2.94
2011,1,26,16,50,2.18
2011,1,26,17,50,2.27
2011,1,26,18,50,2.43
2011,1,26,19,50,2.52
2011,1,26,20,50,2.58
2011,1,26,21,50,2.2
2011,1,26,22,50,2.44
2011,1,26,23,50,2.41
2011,1,27,0,50,2.31
2011,1,27,1,50,2.29
2011,1,27,2,50,2.22
2011,1,27,3,50,2.46
2011,1,27,4,50,2.63
2011,1,27,5,50,2.7
9999,9999,9999,6,9999,2.57
2011,1,27,7,50,2.44
2011,1,27,8,50,2.64
2011,1,27,9,50,2.66
2011,1,27,10,50,2.67
2011,1,27,11,50,2.68
2011,1,27,12,50,2.41
9999,9999,9999,13,9999,2.61
2011,1,27,14,50,2.71
2011,1,27,15,50,2.81
2011,1,27,16,50,2.81
2011,1,27,17,50,3.07
2011,1,27,18,50,3.05
2011,1,27,19,50,2.84
2011,1,27,20,50,2.52
2011,1,27,21,50,2.69
2011,1,27,22,50,2.8
2011,1,27,23,50,2.72
2011,1,28,0,50,2.59
2011,1,28,1,50,2.55
2011,1,28,2,50,2.57
2011,1,28,3,50,2.26
2011,1,28,4,50,2.34
2011,1,28,5,50,2.44
2011,1,28,6,50,2.33
2011,1,28,7,50,2.56
2011,1,28,8,50,2.17
2011,1,28,9,50,2.25
2011,1,28,10,50,2.09
2011,1,28,11,50,1.93
2011,1,28,12,50,2.06
2011,1,28,13,50,1.93
2011,1,28,14,50,1.915
2011,1,28,15,50,1.9
2011,1,28,16,50,1.92
2011,1,28,17,50,1.93
2011,1,28,18,50,1.91
2011,1,28,19,50,2.01
2011,1,28,20,50,1.95
2011,1,28,21,50,2.01
2011,1,28,22,50,1.85
2011,1,28,23,50,1.88
2011,1,29,0,50,1.83
2011,1,29,1,50,1.77
2011,1,29,2,50,1.8
2011,1,29,3,50,1.79
2011,1,29,4,50,2.01
2011,1,29,5,50,1.84
2011,1,29,6,50,1.78
2011,1,29,7,50,1.72
2011,1,29,8,50,1.94
2011,1,29,9,50,1.85
2011,1,29,10,50,1.72
2011,1,29,11,50,1.71
2011,1,29,12,50,1.83
2011,1,29,13,50,1.96
2011,1,29,14,50,1.84
2011,1,29,15,50,1.91
2011,1,29,16,50,1.95
2011,1,29,17,50,2.14
2011,1,29,18,50,2.32
2011,1,29,19,50,2.39
2011,1,29,20,50,2.25
2011,1,29,21,50,2.56
2011,1,29,22,50,2.62
2011,1,29,23,50,2.72
2011,1,30,0,50,2.66
2011,1,30,1,50,2.88
2011,1,30,2,50,2.71
2011,1,30,3,50,2.79
2011,1,30,4,50,2.85
2011,1,30,5,50,2.45
2011,1,30,6,50,2.62
2011,1,30,7,50,2.41
2011,1,30,8,50,2.21
2011,1,30,9,50,2.43
2011,1,30,10,50,2.29
2011,1,30,11,50,2.38
2011,1,30,12,50,2.29
2011,1,30,13,50,2.29
2011,1,30,14,50,2.17
2011,1,30,15,50,2.23
2011,1,30,16,50,2.44
2011,1,30,17,50,2.1
2011,1,30,18,50,2.37
2011,1,30,19,50,2.34
2011,1,30,20,50,2.26
2011,1,30,21,50,2.38
2011,1,30,22,50,2.24
2011,1,30,23,50,2.25
2011,1,31,0,50,2.26
2011,1,31,1,50,2.28
2011,1,31,2,50,2.08
2011,1,31,3,50,2.18
2011,1,31,4,50,2.22
2011,1,31,5,50,2.13
2011,1,31,6,50,2.06
2011,1,31,7,50,1.99
2011,1,31,8,50,2.26
2011,1,31,9,50,2.18
2011,1,31,10,50,2.35
2011,1,31,11,50,2.45
2011,1,31,12,50,2.75
2011,1,31,13,50,3.37
2011,1,31,14,50,4.2
2011,1,31,15,50,4.54
2011,1,31,16,50,5.23
2011,1,31,17,50,4.73
2011,1,31,18,50,4.86
2011,1,31,19,50,4.425
2011,1,31,20,50,4.2075
2011,1,31,21,50,4.09875
2011,1,31,22,50,4.044375
2011,1,31,23,50,3.99
2011,2,1,0,50,3.795
2011,2,1,1,50,3.6975
2011,2,1,2,50,3.64875
2011,2,1,3,50,3.624375
2011,2,1,4,50,3.6121875
2011,2,1,5,50,3.6
2011,2,1,6,50,3.48
2011,2,1,7,50,3.7
2011,2,1,8,50,4.08
2011,2,1,9,50,3.76
2011,2,1,10,50,4.14
2011,2,1,11,50,4.39
2011,2,1,12,50,3.82
2011,2,1,13,50,4.2
2011,2,1,14,50,4.58
2011,2,1,15,50,4.58
2011,2,1,16,50,4.58
2011,2,1,17,50,4.335
2011,2,1,18,50,4.09
2011,2,1,19,50,4.34
2011,2,1,20,50,3.9
2011,2,1,21,50,3.65
2011,2,1,22,50,3.54
2011,2,1,23,50,3.22
2011,2,2,0,50,3.64
2011,2,2,1,50,3.28
2011,2,2,2,50,3.365
2011,2,2,3,50,3.45
2011,2,2,4,50,3.85
2011,2,2,5,50,3.02
2011,2,2,6,50,2.93
2011,2,2,7,50,3.01
2011,2,2,8,50,2.93
2011,2,2,9,50,2.89
2011,2,2,10,50,2.92
2011,2,2,11,50,2.95
2011,2,2,12,50,3.22
2011,2,2,13,50,2.59
2011,2,2,14,50,2.72
2011,2,2,15,50,2.69
2011,2,2,16,50,3.05
2011,2,2,17,50,2.8
2011,2,2,18,50,2.96
2011,2,2,19,50,2.74
2011,2,2,20,50,2.81
2011,2,2,21,50,2.8
2011,2,2,22,50,3.02
2011,2,2,23,50,2.83
2011,2,3,0,50,2.73
2011,2,3,1,50,2.75
2011,2,3,2,50,2.79
2011,2,3,3,50,2.78
2011,2,3,4,50,2.85
2011,2,3,5,50,2.78
2011,2,3,6,50,2.96
2011,2,3,7,50,2.74
2011,2,3,8,50,2.59
2011,2,3,9,50,2.76
2011,2,3,10,50,2.81
2011,2,3,11,50,2.54
2011,2,3,12,50,2.9
2011,2,3,13,50,2.96
2011,2,3,14,50,2.49
2011,2,3,15,50,2.5
2011,2,3,16,50,2.64
2011,2,3,17,50,2.645
2011,2,3,18,50,2.65
2011,2,3,19,50,2.27
2011,2,3,20,50,2.45
2011,2,3,21,50,2.53
2011,2,3,22,50,2.22
2011,2,3,23,50,2.15
2011,2,4,0,50,2.32
2011,2,4,1,50,2.15
2011,2,4,2,50,2.28
2011,2,4,3,50,2.08
2011,2,4,4,50,2.09
2011,2,4,5,50,2.09
2011,2,4,6,50,2.2
2011,2,4,7,50,1.97
2011,2,4,8,50,2.19
2011,2,4,9,50,2.29
2011,2,4,10,50,2.26
2011,2,4,11,50,2.39
2011,2,4,12,50,2.36
2011,2,4,13,50,2.71
2011,2,4,14,50,2.62
2011,2,4,15,50,2.5
2011,2,4,16,50,2.51
2011,2,4,17,50,2.69
2011,2,4,18,50,2.55
2011,2,4,19,50,2.69
2011,2,4,20,50,2.61
2011,2,4,21,50,2.63
2011,2,4,22,50,2.45
2011,2,4,23,50,2.38
2011,2,5,0,50,2.39
2011,2,5,1,50,2.44
2011,2,5,2,50,2.53
2011,2,5,3,50,2.42
2011,2,5,4,50,2.41
2011,2,5,5,50,2.58
2011,2,5,6,50,2.38
2011,2,5,7,50,2.4
2011,2,5,8,50,2.31
2011,2,5,9,50,2.26
2011,2,5,10,50,2.07
2011,2,5,11,50,2.23
2011,2,5,12,50,2.17
2011,2,5,13,50,2.2
2011,2,5,14,50,1.99
2011,2,5,15,50,2.15
2011,2,5,16,50,2.28
2011,2,5,17,50,2.13
2011,2,5,18,50,2.2
2011,2,5,19,50,2.12
2011,2,5,20,50,2.16
2011,2,5,21,50,1.98
2011,2,5,22,50,2.08
2011,2,5,23,50,2.25
2011,2,6,0,50,2.26
2011,2,6,1,50,2.31
2011,2,6,2,50,2.12
2011,2,6,3,50,2.43
2011,2,6,4,50,2.6
2011,2,6,5,50,2.93
2011,2,6,6,50,3.28
2011,2,6,7,50,2.98
2011,2,6,8,50,3.31
2011,2,6,9,50,3.32
2011,2,6,10,50,3.11
2011,2,6,11,50,2.95
2011,2,6,12,50,3.46
2011,2,6,13,50,3.49
2011,2,6,14,50,3.32
2011,2,6,15,50,3.21
2011,2,6,16,50,2.98
2011,2,6,17,50,2.86
2011,2,6,18,50,3.24
2011,2,6,19,50,3.16
2011,2,6,20,50,3.42
2011,2,6,21,50,3.07
2011,2,6,22,50,3.08
2011,2,6,23,50,3.11
2011,2,7,0,50,2.78
2011,2,7,1,50,2.7
2011,2,7,2,50,2.94
2011,2,7,3,50,2.92
2011,2,7,4,50,3.04
2011,2,7,5,50,2.94
2011,2,7,6,50,2.81
2011,2,7,7,50,2.86
2011,2,7,8,50,2.65
2011,2,7,9,50,2.87
2011,2,7,10,50,2.55
2011,2,7,11,50,2.93
2011,2,7,12,50,2.76
2011,2,7,13,50,2.66
2011,2,7,14,50,2.58
2011,2,7,15,50,2.47
2011,2,7,16,50,2.84
2011,2,7,17,50,2.76
2011,2,7,18,50,2.67
2011,2,7,19,50,2.65
2011,2,7,20,50,2.69
2011,2,7,21,50,2.99
2011,2,7,22,50,2.79
2011,2,7,23,50,3.44
2011,2,8,0,50,3.78
2011,2,8,1,50,3.7
2011,2,8,2,50,3.97
2011,2,8,3,50,3.96
2011,2,8,4,50,4.61
2011,2,8,5,50,5.03
2011,2,8,6,50,4.35
2011,2,8,7,50,4.56
2011,2,8,8,50,4.73
2011,2,8,9,50,4.53
2011,2,8,10,50,4.7
2011,2,8,11,50,4.02
2011,2,8,12,50,4.28
2011,2,8,13,50,4.26
2011,2,8,14,50,3.88
2011,2,8,15,50,4
2011,2,8,16,50,4.22
2011,2,8,17,50,4.54
2011,2,8,18,50,4.71
2011,2,8,19,50,4.56
2011,2,8,20,50,3.86
2011,2,8,21,50,4.36
2011,2,8,22,50,3.61
2011,2,8,23,50,3.59
2011,2,9,0,50,3.5
2011,2,9,1,50,3.73
2011,2,9,2,50,3.45
2011,2,9,3,50,3.16
2011,2,9,4,50,3.22
2011,2,9,5,50,3.13
2011,2,9,6,50,3.06
2011,2,9,7,50,2.99
2011,2,9,8,50,3.23
2011,2,9,9,50,3
2011,2,9,10,50,2.9
2011,2,9,11,50,2.94
2011,2,9,12,50,3.21
2011,2,9,13,50,2.81
2011,2,9,14,50,2.97
2011,2,9,15,50,2.88
2011,2,9,16,50,2.87
2011,2,9,17,50,2.74
2011,2,9,18,50,2.63
2011,2,9,19,50,2.84
2011,2,9,20,50,2.29
2011,2,9,21,50,2.6
2011,2,9,22,50,2.89
2011,2,9,23,50,2.45
2011,2,10,0,50,2.42
2011,2,10,1,50,2.43
2011,2,10,2,50,2.26
2011,2,10,3,50,2.38
2011,2,10,4,50,2.24
2011,2,10,5,50,2.06
2011,2,10,6,50,2.15
2011,2,10,7,50,2.3
2011,2,10,8,50,2.29
2011,2,10,9,50,2.1
2011,2,10,10,50,2.39
2011,2,10,11,50,2.21
2011,2,10,12,50,2.3
2011,2,10,13,50,2.27
2011,2,10,14,50,2.44
2011,2,10,15,50,2.56
2011,2,10,16,50,2.47
2011,2,10,17,50,2.42
2011,2,10,18,50,2.31
2011,2,10,19,50,2.62
2011,2,10,20,50,2.33
2011,2,10,21,50,2.26
2011,2,10,22,50,2.17
2011,2,10,23,50,2.29
2011,2,11,0,50,2.28
2011,2,11,1,50,2.19
2011,2,11,2,50,2.16
2011,2,11,3,50,2.09
2011,2,11,4,50,2.15
2011,2,11,5,50,1.96
2011,2,11,6,50,1.9
2011,2,11,7,50,1.98
2011,2,11,8,50,2.05
2011,2,11,9,50,1.79
2011,2,11,10,50,1.94
2011,2,11,11,50,2.05
2011,2,11,12,50,1.79
2011,2,11,13,50,1.94
2011,2,11,14,50,1.82
2011,2,11,15,50,1.78
2011,2,11,16,50,1.71
2011,2,11,17,50,1.81
2011,2,11,18,50,1.91
2011,2,11,19,50,2.03
2011,2,11,20,50,2.56
2011,2,11,21,50,2.46
2011,2,11,22,50,2.53
2011,2,11,23,50,2.47
2011,2,12,0,50,2.45
2011,2,12,1,50,2.39
2011,2,12,2,50,2.27
2011,2,12,3,50,2.315
2011,2,12,4,50,2.3375
2011,2,12,5,50,2.34875
2011,2,12,6,50,2.354375
2011,2,12,7,50,2.36
2011,2,12,8,50,2.61
2011,2,12,9,50,3.09
2011,2,12,10,50,3.33
2011,2,12,11,50,3.45
2011,2,12,12,50,3.51
2011,2,12,13,50,3.54
2011,2,12,14,50,3.555
9999,9999,9999,15,9999,3.5625
2011,2,12,16,50,3.56625
2011,2,12,17,50,3.568125
2011,2,12,18,50,3.5690625
2011,2,12,19,50,3.57
2011,2,12,20,50,3.405
2011,2,12,21,50,3.3225
2011,2,12,22,50,3.28125
2011,2,12,23,50,3.260625
2011,2,13,0,50,3.2503125
2011,2,13,1,50,3.24515625
2011,2,13,2,50,3.242578125
2011,2,13,3,50,3.241289063
2011,2,13,4,50,3.24
2011,2,13,5,50,3.22
2011,2,13,6,50,3.21
2011,2,13,7,50,3.2
2011,2,13,8,50,3.27
2011,2,13,9,50,3.305
2011,2,13,10,50,3.34
2011,2,13,11,50,3.565
2011,2,13,12,50,3.6775
9999,9999,9999,13,9999,3.73375
2011,2,13,14,50,3.761875
2011,2,13,15,50,3.7759375
2011,2,13,16,50,3.78296875
2011,2,13,17,50,3.79
2011,2,13,18,50,3.625
2011,2,13,19,50,3.46
2011,2,13,20,50,3.35
2011,2,13,21,50,3.42
2011,2,13,22,50,3.49
2011,2,13,23,50,3.49
2011,2,14,0,50,3.42
9999,9999,9999,1,9999,3.295
2011,2,14,2,50,3.17
2011,2,14,3,50,3.31
2011,2,14,4,50,3.315
2011,2,14,5,50,3.32
2011,2,14,6,50,3.14
2011,2,14,7,50,3.165
2011,2,14,8,50,3.19
2011,2,14,9,50,3.09
2011,2,14,10,50,2.81
2011,2,14,11,50,3.15
2011,2,14,12,50,3.01
2011,2,14,13,50,2.8
2011,2,14,14,50,2.69
2011,2,14,15,50,2.65
2011,2,14,16,50,2.68
2011,2,14,17,50,2.77
2011,2,14,18,50,2.56
2011,2,14,19,50,2.86
2011,2,14,20,50,2.71
2011,2,14,21,50,2.91
2011,2,14,22,50,2.72
2011,2,14,23,50,2.71
2011,2,15,0,50,2.61
2011,2,15,1,50,2.51
2011,2,15,2,50,2.31
2011,2,15,3,50,2.47
2011,2,15,4,50,2.24
2011,2,15,5,50,2.29
2011,2,15,6,50,2.29
2011,2,15,7,50,2.11
2011,2,15,8,50,2.12
2011,2,15,9,50,1.94
2011,2,15,10,50,1.97
2011,2,15,11,50,1.86
2011,2,15,12,50,1.91
2011,2,15,13,50,1.93
2011,2,15,14,50,1.74
2011,2,15,15,50,1.72
2011,2,15,16,50,1.79
2011,2,15,17,50,1.93
2011,2,15,18,50,2
2011,2,15,19,50,1.94
2011,2,15,20,50,1.84
2011,2,15,21,50,2.06
2011,2,15,22,50,2.06
2011,2,15,23,50,2.07
2011,2,16,0,50,2.19
2011,2,16,1,50,2.01
2011,2,16,2,50,2.06
2011,2,16,3,50,2.14
2011,2,16,4,50,2.17
2011,2,16,5,50,2.19
2011,2,16,6,50,2.07
2011,2,16,7,50,2.18
2011,2,16,8,50,2.14
2011,2,16,9,50,2.4
2011,2,16,10,50,2.07
2011,2,16,11,50,2.49
2011,2,16,12,50,2.38
2011,2,16,13,50,2.36
2011,2,16,14,50,2.46
2011,2,16,15,50,2.12
2011,2,16,16,50,2.38
2011,2,16,17,50,2.3
2011,2,16,18,50,2.66
2011,2,16,19,50,2.51
2011,2,16,20,50,2.52
2011,2,16,21,50,2.86
2011,2,16,22,50,3.02
2011,2,16,23,50,2.78
2011,2,17,0,50,2.87
2011,2,17,1,50,2.88
2011,2,17,2,50,2.8
2011,2,17,3,50,2.93
2011,2,17,4,50,2.97
2011,2,17,5,50,3.39
2011,2,17,6,50,3.05
2011,2,17,7,50,2.8
2011,2,17,8,50,3.3
2011,2,17,9,50,3.05
2011,2,17,10,50,2.94
2011,2,17,11,50,3.02
2011,2,17,12,50,3.51
2011,2,17,13,50,3.02
2011,2,17,14,50,3.28
2011,2,17,15,50,3.14
2011,2,17,16,50,3.48
2011,2,17,17,50,3.22
2011,2,17,18,50,2.93
2011,2,17,19,50,3.14
2011,2,17,20,50,3.02
2011,2,17,21,50,3.04
2011,2,17,22,50,2.95
2011,2,17,23,50,2.71
2011,2,18,0,50,2.69
2011,2,18,1,50,2.5
2011,2,18,2,50,2.77
2011,2,18,3,50,2.83
2011,2,18,4,50,2.53
2011,2,18,5,50,2.7
2011,2,18,6,50,2.48
2011,2,18,7,50,2.7
2011,2,18,8,50,2.65
2011,2,18,9,50,2.6
2011,2,18,10,50,2.39
2011,2,18,11,50,2.44
2011,2,18,12,50,2.36
2011,2,18,13,50,2.32
2011,2,18,14,50,2.49
2011,2,18,15,50,2.56
2011,2,18,16,50,2.18
2011,2,18,17,50,2.35
2011,2,18,18,50,2.19
2011,2,18,19,50,2.32
2011,2,18,20,50,2.32
2011,2,18,21,50,2.23
2011,2,18,22,50,1.98
2011,2,18,23,50,2.1
2011,2,19,0,50,2.18
2011,2,19,1,50,2.17
2011,2,19,2,50,2.15
2011,2,19,3,50,2.21
2011,2,19,4,50,2.03
2011,2,19,5,50,2.02
2011,2,19,6,50,2.11
2011,2,19,7,50,2.02
2011,2,19,8,50,2.14
2011,2,19,9,50,2
2011,2,19,10,50,2.17
2011,2,19,11,50,2.17
2011,2,19,12,50,2.02
2011,2,19,13,50,2.19
2011,2,19,14,50,2.2
2011,2,19,15,50,2.33
2011,2,19,16,50,2.17
2011,2,19,17,50,2.25
2011,2,19,18,50,2.35
2011,2,19,19,50,2.12
2011,2,19,20,50,2
2011,2,19,21,50,1.97
2011,2,19,22,50,1.93
2011,2,19,23,50,2.06
2011,2,20,0,50,1.88
2011,2,20,1,50,1.96
2011,2,20,2,50,1.92
2011,2,20,3,50,1.85
2011,2,20,4,50,1.84
2011,2,20,5,50,1.83
2011,2,20,6,50,1.97
2011,2,20,7,50,1.85
2011,2,20,8,50,1.78
2011,2,20,9,50,1.82
2011,2,20,10,50,1.78
2011,2,20,11,50,1.77
2011,2,20,12,50,1.71
2011,2,20,13,50,1.85
2011,2,20,14,50,1.77
2011,2,20,15,50,1.66
2011,2,20,16,50,1.68
2011,2,20,17,50,1.66
2011,2,20,18,50,1.71
2011,2,20,19,50,1.67
2011,2,20,20,50,1.73
2011,2,20,21,50,1.69
2011,2,20,22,50,1.62
2011,2,20,23,50,1.71
2011,2,21,0,50,1.66
2011,2,21,1,50,1.62
2011,2,21,2,50,1.61
2011,2,21,3,50,1.73
